pos_idx,ra,dec,src_index,num_matches,obs_jd,obs_date,mag,exp_duration_s,n_plates_total,n_study_plates,kp_max_02d,kp_bin,kp_label,nuclear_window
11,158.4,-60.0,3840,1,2434433.518426,1953-02-25,12.710976600646973,,3639,251,6.0,2,G2 (6),False
11,158.4,-60.0,3923,1,2434902.486388,1954-06-08,12.363574981689453,,3733,242,3.0,0,Quiet (<5),False
11,158.4,-60.0,4043,1,2433084.208438,1949-06-16,16.390352249145508,,3640,252,3.667,0,Quiet (<5),False
11,158.4,-60.0,4169,1,2434505.261757,1953-05-07,14.51343059539795,,3725,241,5.667,1,G1 (5),True
11,158.4,-60.0,4264,1,2434896.236381,1954-06-02,13.132660865783691,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,4270,1,2433481.222343,1950-07-18,13.724878311157227,,3639,251,4.0,0,Quiet (<5),False
11,158.4,-60.0,4325,1,2433473.195425,1950-07-10,13.053167343139648,,3639,251,3.667,0,Quiet (<5),False
11,158.4,-60.0,4464,1,2433451.21916,1950-06-18,16.293899536132812,,3733,242,4.0,0,Quiet (<5),False
11,158.4,-60.0,4576,1,2433056.308787,1949-05-19,12.875953674316406,,3640,252,3.667,0,Quiet (<5),False
11,158.4,-60.0,4587,1,2434545.220117,1953-06-16,14.017777442932129,,3733,242,2.667,0,Quiet (<5),False
11,158.4,-60.0,4595,1,2434435.521354,1953-02-27,11.894197463989258,,3639,251,5.667,1,G1 (5),False
11,158.4,-60.0,4644,1,2433484.218195,1950-07-21,13.838946342468262,,3733,242,3.0,0,Quiet (<5),False
11,158.4,-60.0,4664,1,2434100.236551,1952-03-28,15.284382820129395,,3639,251,4.667,0,Quiet (<5),False
11,158.4,-60.0,4845,1,2434546.217341,1953-06-17,13.758272171020508,,3733,242,3.333,0,Quiet (<5),False
11,158.4,-60.0,4905,1,2434545.238101,1953-06-16,13.885869026184082,,3724,240,2.667,0,Quiet (<5),False
11,158.4,-60.0,4909,1,2434422.531397,1953-02-14,10.824546813964844,,3734,243,3.667,0,Quiet (<5),False
11,158.4,-60.0,5018,1,2434422.531398,1953-02-14,10.708685874938965,,3734,243,3.667,0,Quiet (<5),False
11,158.4,-60.0,5066,1,2434902.237059,1954-06-08,12.445125579833984,,3724,240,3.0,0,Quiet (<5),False
11,158.4,-60.0,5110,1,2433764.208968,1951-04-27,13.121853828430176,,3639,251,5.667,1,G1 (5),False
11,158.4,-60.0,5122,1,2433440.256595,1950-06-07,16.610504150390625,,3725,241,6.0,2,G2 (6),False
11,158.4,-60.0,5313,1,2434902.252641,1954-06-08,13.057883262634277,,3724,240,3.0,0,Quiet (<5),False
11,158.4,-60.0,5421,1,2434546.21734,1953-06-17,13.839340209960938,,3639,251,3.333,0,Quiet (<5),False
11,158.4,-60.0,5543,1,2434435.521322,1953-02-27,11.998802185058594,,3733,242,5.667,1,G1 (5),False
11,158.4,-60.0,5595,1,2434435.513039,1953-02-27,11.579422950744629,,3630,237,5.667,1,G1 (5),False
11,158.4,-60.0,5690,1,2434902.241235,1954-06-08,12.099793434143066,,3733,242,3.0,0,Quiet (<5),False
11,158.4,-60.0,5744,1,2433477.212025,1950-07-14,13.422674179077148,,3733,242,7.0,3,G3 (7),False
11,158.4,-60.0,5877,1,2434902.252635,1954-06-08,13.1863431930542,,3724,240,3.0,0,Quiet (<5),False
11,158.4,-60.0,5999,1,2434545.24433,1953-06-16,13.620180130004883,,3724,240,2.667,0,Quiet (<5),False
11,158.4,-60.0,6028,1,2434546.217343,1953-06-17,13.858776092529297,,3639,251,3.333,0,Quiet (<5),False
11,158.4,-60.0,6132,1,2434902.237077,1954-06-08,12.299484252929688,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,6198,1,2434100.236548,1952-03-28,16.288354873657227,,3733,242,4.667,0,Quiet (<5),False
11,158.4,-60.0,6474,1,2434902.263016,1954-06-08,13.111785888671875,,3630,237,3.0,0,Quiet (<5),False
11,158.4,-60.0,6520,1,2433484.218187,1950-07-21,13.77504825592041,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,6579,1,2434545.19587,1953-06-16,13.725326538085938,,3639,251,2.667,0,Quiet (<5),False
11,158.4,-60.0,6981,1,2433774.219572,1951-05-07,15.075716972351074,,3639,251,4.0,0,Quiet (<5),True
11,158.4,-60.0,7003,1,2434100.236537,1952-03-28,16.09161376953125,,3733,242,4.667,0,Quiet (<5),False
11,158.4,-60.0,7259,1,2434902.252626,1954-06-08,13.015286445617676,,3630,237,3.0,0,Quiet (<5),False
11,158.4,-60.0,7377,1,2434902.237065,1954-06-08,12.501630783081055,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,7384,1,2434896.231537,1954-06-02,14.382984161376953,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,7492,1,2433479.257716,1950-07-16,13.766910552978516,,3733,242,4.0,0,Quiet (<5),False
11,158.4,-60.0,7735,1,2433764.269888,1951-04-27,12.693408012390137,,3733,242,5.667,1,G1 (5),False
11,158.4,-60.0,7750,1,2433764.34194,1951-04-27,14.52182674407959,,3639,251,5.667,1,G1 (5),False
11,158.4,-60.0,7942,1,2434433.526742,1953-02-25,13.297374725341797,,3630,237,6.0,2,G2 (6),False
11,158.4,-60.0,7986,1,2434545.238102,1953-06-16,13.74459457397461,,3639,251,2.667,0,Quiet (<5),False
11,158.4,-60.0,7983,1,2433481.222371,1950-07-18,13.641345977783203,,3725,241,4.0,0,Quiet (<5),False
11,158.4,-60.0,8013,1,2434100.236519,1952-03-28,11.614298820495605,,3724,240,4.667,0,Quiet (<5),False
11,158.4,-60.0,8090,1,2434100.236545,1952-03-28,14.133468627929688,,3733,242,4.667,0,Quiet (<5),False
11,158.4,-60.0,8137,1,2434545.195873,1953-06-16,13.966188430786133,,3639,251,2.667,0,Quiet (<5),False
11,158.4,-60.0,8281,1,2434433.524634,1953-02-25,13.522063255310059,,3733,242,6.0,2,G2 (6),False
11,158.4,-60.0,8388,1,2434415.591762,1953-02-07,12.492707252502441,,3733,242,2.0,0,Quiet (<5),False
11,158.4,-60.0,8493,1,2434435.521333,1953-02-27,13.176763534545898,,3733,242,5.667,1,G1 (5),False
11,158.4,-60.0,8494,1,2434435.51302,1953-02-27,12.481860160827637,,3733,242,5.667,1,G1 (5),False
11,158.4,-60.0,8524,1,2434545.244335,1953-06-16,14.266502380371094,,3639,251,2.667,0,Quiet (<5),False
11,158.4,-60.0,8543,1,2434545.238129,1953-06-16,13.83889102935791,,3733,242,2.667,0,Quiet (<5),False
11,158.4,-60.0,8603,1,2434415.573102,1953-02-07,11.33310317993164,,3630,237,2.0,0,Quiet (<5),False
11,158.4,-60.0,8617,1,2434435.519249,1953-02-27,12.633325576782227,,3733,242,5.667,1,G1 (5),False
11,158.4,-60.0,8655,1,2433764.20066,1951-04-27,12.704263687133789,,3639,251,5.667,1,G1 (5),False
11,158.4,-60.0,8678,1,2434545.220081,1953-06-16,14.281596183776855,,3639,251,2.667,0,Quiet (<5),False
11,158.4,-60.0,8846,1,2434902.241241,1954-06-08,12.008161544799805,,3733,242,3.0,0,Quiet (<5),False
